Transaction_Value,Transaction_Fees,Number_of_Inputs,Number_of_Outputs,Gas_Price,Wallet_Age_Days,Wallet_Balance,Transaction_Velocity,Exchange_Rate,Final_Balance,BMax_BMin_per_NT,Is_Scam,Action,Reward,Predicted_Action
2.491879986033738,3.666920949085308,11,9,22.00800056661453,156,3.374369761778211,2.168753677965007,1673.469947787085,0.0839520790643897,43.49764508802127,1,1,-1,1
3.161563252718573,4.947608318778741,1,3,82.25658007572086,1349,13.69832889839436,0.4999306819146372,1980.307136374753,17.353372314633575,6.466689626644823,0,0,1,0
0.912583496660844,2.427225803375221,2,6,93.85437681830626,97,4.952313401071128,13.30252297485145,1883.046466013158,0.044681577807996274,64.26971879300874,1,1,-1,1
6.769100262174714,10.71535005925325,3,1,84.3283282367216,1280,18.9469920199836,1.249609221126883,1768.31718332843,18.383062833298588,2.82753205570414,0,0,1,0
2.808756439284557,2.772441912253547,7,9,140.1767622311831,100,8.41024322105005,2.227866078574287,1648.794656334074,0.09082973814425747,24.2540930115168,1,1,-1,1
10.44486238275961,4.942946474798292,2,3,82.85219322263677,1014,6.906095550892038,0.8682813413515743,1767.502872371905,7.732969012029144,0.38771163214633436,0,0,1,0
7.703291898311774,3.065751261311074,3,2,91.7136258279816,307,18.95301622488755,2.130932623408908,1707.270035849286,15.873528434743221,3.0897728753404077,0,0,1,0
29.56897405119897,2.740945692640354,7,3,72.45174094004891,61,6.570850828246816,1.723801151487149,1787.134618746177,0.08553024386146692,48.21704202671177,1,1,-1,1
11.63208248399104,1.900280056168128,4,1,82.02020865873118,655,3.690012482895012,1.815054317546048,1824.445337609586,4.3233245913417875,3.059112950906929,0,0,1,0
20.81617211499532,11.04400489495797,6,9,121.3483398817934,194,10.15892905716988,1.049666153824433,1792.130513337471,0.01885733188992438,16.543779079767386,1,1,-1,1
11.83539180231397,3.381386438043866,4,2,108.6975753095817,1314,16.87961899382764,1.441537789580476,1655.638429344331,18.78227427426786,3.0166541818318415,0,0,1,0
2.773866662715111,1.210779706710454,9,3,99.45171840527604,175,6.238607041649957,2.731991694413962,1781.206292671709,0.05482147092465983,32.82131844830793,1,1,-1,1
